'No','Grape','Winery','Appelation','Name','Year','Price','Score','Cases'
89,'Pinot Noir','Sequana','Santa Lucia Highlands','Sarmento Vineyard',2008,32,88,500
90,'Pinot Noir','Spell','Sonoma Coast','Pinot Noir',2008,30,88,170
91,'Pinot Noir','Twomey','Santa Barbara County','Pinot Noir',2008,30,88,1510
92,'Pinot Noir','Alma Rosa','Sta. Rita Hills','Pinot Noir',2008,32,87,4651
93,'Pinot Noir','Castle Rock','Central Coast','Pinot Noir',2008,13,87,36000
94,'Pinot Noir','V. Sattui','Carneros','Henry Ranch',2008,36,87,951
95,'Pinot Noir','Sebastiani','Carneros','Pinot Noir',2008,24,87,720
96,'Pinot Noir','Talbott','Santa Lucia Highlands','Kali Hart',2008,21,87,8000
97,'Pinot Noir','Tudor','Santa Lucia Highlands','Pinot Noir',2007,40,87,3965
98,'Pinot Noir','Twomey','Sonoma Coast','Pinot Noir',2008,50,87,1255
99,'Pinot Noir','Castle Rock','Russian River Valley','Pinot Noir',2008,18,86,2400
100,'Pinot Noir','Talbott','Santa Lucia Highlands','Sleepy Hollow Vineyard',2008,40,86,2500
101,'Pinot Noir','Greg Norman California Estates','Santa Barbara County','Pinot Noir',2008,15,85,25000
102,'Syrah','Chalk Hill','Chalk Hill','Syrah',2007,60,94,304
103,'Syrah','DuMOL','Russian River Valley','Eddie''s Patch',2007,76,92,420
104,'Merlot','Mirassou','California','Merlot',2007,12,86,43321
105,'Malbec','Red Rock','California','Reserve',2008,11,86,16281
106,'Cabernet Sauvingnon','Darioush','Napa Valley','Darius II',2007,225,96,698
107,'Cabernet Sauvingnon','Darioush','Napa Valley','Cabernet Sauvignon',2007,80,94,8783
108,'Cabernet Sauvingnon','Lewis','Napa Valley','Hillstone Vineyard',2008,130,94,180
109,'Cabernet Sauvingnon','Chimeney Rock','Stags Leap District','Tomahawk Vineyard',2007,115,93,958
110,'Cabernet Sauvingnon','Chimeney Rock','Stags Leap District','Elevage',2007,78,93,1952
111,'Cabernet Sauvingnon','Peter Franus','Napa Valley','Cabernet Sauvignon',2007,40,92,1369
112,'Cabernet Sauvingnon','Turnbull','Napa Valley','Cabernet Sauvignon',2007,40,91,10000
113,'Cabernet Sauvingnon','Pott','Oakville','Neruda Brix Vineyard',2008,90,90,73
114,'Cabernet Sauvingnon','Beringer','Knights Valley','Cabernet Sauvignon',2008,27,88,44500
115,'Cabernet Sauvingnon','Dry Creek','Dry Creek Valley','Cabernet Sauvignon',2007,25,87,15000
116,'Grenache','Sine Qua Non','Sta. Rita Hills','In the Crosshairs Eleven Confessions Vineyard',2006,200,97,202
117,'Grenache','Herman Story','California','On the Road',2008,36,93,398
118,'Grenache','Villa Creek','Paso Robles','Garnacha Denner Vineyard',2008,35,91,350
119,'Grenache','Beckmen','Santa Ynez Valley','Purisma Mountain Vineyard',2008,48,88,500
120,'Grenache','Bella Victorian','Santa Barbara County','Romeo',2006,39,87,300
121,'Grenache','Austine Hope','Paso Robles','Hope Family Vineyard',2009,42,87,566
122,'Grenache','Jemrose','Bennett Valley','Foggy Knoll Vineyard',2008,38,87,275
123,'Petite Sirah','Alta Colina','Paso Robles','Ann''s Block',2008,48,91,123
124,'Petite Sirah','Erna Schein','Sonoma County','Kick Ranch',2008,48,91,312
125,'Petite Sirah','Jaffurs','Santa Barbara County','Thompson Vineyard',2009,34,90,501
126,'Petite Sirah','Turley','Napa Valley','Hayne Vineyard',2008,75,90,350
127,'Petite Sirah','JC Cellars','Russian River Valley','Sweetwater Springs Vineyard',2008,35,89,340
128,'Petite Sirah','Parducci','Mendocino County','Petite Sirah',2007,11,85,15340
129,'Pinot Noir','A.P.Vin','Santa Lucia Highlands','Rosella''s Vineyard',2009,48,95,325
130,'Pinot Noir','Siduri','Santa Lucia Highlands','Pisoni Vineyard',2009,54,95,364
131,'Pinot Noir','A.P.Vin','Sonoma Coast','Kanzler Vineyard',2009,48,94,200
132,'Pinot Noir','Loring','Paso Robles','Russel Family Vineyard',2009,45,94,250
133,'Pinot Noir','Loring','Sonoma Coast','Durell Vineyard',2009,45,94,200
134,'Pinot Noir','Siduri','Santa Lucia Highlands','Garys'' Vineyard',2009,51,94,298
135,'Pinot Noir','A.P.Vin','Santa Lucia Highlands','Garys'' Vineyard',2009,48,93,300
136,'Pinot Noir','A.P.Vin','Santa Maria Valley','Rancho Oliveros Vineyard',2009,48,93,50
137,'Pinot Noir','Loring','Green Valley of Russian River Valley','Graham Family Vineyard',2009,45,93,150
